Date,Timestamp,Symbol,Expiry,Strikes (Low/High),Buy Low CE (Ask),Sell High CE (Bid),Buy High PE (Ask),Sell Low PE (Bid),Net Exec Cost,Theoretical Value,IRR Tier Achieved,Target Mismatch (For Tier),Profit Per Share,Total Paper Profit
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/10.0,0.42,0.09,0.92,0.28,0.97,100%,12%,0.03,0.03,"2,144.25"
19-03-2026,09:21:36,IDEA,30-03-2026,9.0/12.0,0.42,0.02,2.86,0.28,2.98,300%,8%,0.02,0.02,"1,429.50"
